date_id,date_iso_format,year_number,quarter_number,month_number,day_number,month_name,day_name,week_of_the_year,week_of_the_month
20130609,2013-06-09,2013,2,6,9,June,Sunday,23,2
20130610,2013-06-10,2013,2,6,10,June,Monday,23,2
20130611,2013-06-11,2013,2,6,11,June,Tuesday,23,2
20130612,2013-06-12,2013,2,6,12,June,Wednesday,23,2
20130613,2013-06-13,2013,2,6,13,June,Thursday,23,2
20130614,2013-06-14,2013,2,6,14,June,Friday,23,2
20130615,2013-06-15,2013,2,6,15,June,Saturday,23,3
20130616,2013-06-16,2013,2,6,16,June,Sunday,24,3
20130617,2013-06-17,2013,2,6,17,June,Monday,24,3
20130618,2013-06-18,2013,2,6,18,June,Tuesday,24,3
20130619,2013-06-19,2013,2,6,19,June,Wednesday,24,3
20130620,2013-06-20,2013,2,6,20,June,Thursday,24,3
20130621,2013-06-21,2013,2,6,21,June,Friday,24,3
20130622,2013-06-22,2013,2,6,22,June,Saturday,24,4
20130623,2013-06-23,2013,2,6,23,June,Sunday,25,4
20130624,2013-06-24,2013,2,6,24,June,Monday,25,4
20130625,2013-06-25,2013,2,6,25,June,Tuesday,25,4
20130626,2013-06-26,2013,2,6,26,June,Wednesday,25,4
20130627,2013-06-27,2013,2,6,27,June,Thursday,25,4
20130628,2013-06-28,2013,2,6,28,June,Friday,25,4
20130629,2013-06-29,2013,2,6,29,June,Saturday,25,5
20130630,2013-06-30,2013,2,6,30,June,Sunday,26,5
20130701,2013-07-01,2013,3,7,1,July,Monday,26,1
20130702,2013-07-02,2013,3,7,2,July,Tuesday,26,1
20130703,2013-07-03,2013,3,7,3,July,Wednesday,26,1
20130704,2013-07-04,2013,3,7,4,July,Thursday,26,1
20130705,2013-07-05,2013,3,7,5,July,Friday,26,1
20130706,2013-07-06,2013,3,7,6,July,Saturday,26,1
20130707,2013-07-07,2013,3,7,7,July,Sunday,27,1
20130708,2013-07-08,2013,3,7,8,July,Monday,27,2
20130709,2013-07-09,2013,3,7,9,July,Tuesday,27,2
20130710,2013-07-10,2013,3,7,10,July,Wednesday,27,2
20130711,2013-07-11,2013,3,7,11,July,Thursday,27,2
20130712,2013-07-12,2013,3,7,12,July,Friday,27,2
20130713,2013-07-13,2013,3,7,13,July,Saturday,27,2
20130714,2013-07-14,2013,3,7,14,July,Sunday,28,2
20130715,2013-07-15,2013,3,7,15,July,Monday,28,3
20130716,2013-07-16,2013,3,7,16,July,Tuesday,28,3
20130717,2013-07-17,2013,3,7,17,July,Wednesday,28,3
20130718,2013-07-18,2013,3,7,18,July,Thursday,28,3
20130719,2013-07-19,2013,3,7,19,July,Friday,28,3
20130720,2013-07-20,2013,3,7,20,July,Saturday,28,3
20130721,2013-07-21,2013,3,7,21,July,Sunday,29,3
20130722,2013-07-22,2013,3,7,22,July,Monday,29,4
20130723,2013-07-23,2013,3,7,23,July,Tuesday,29,4
20130724,2013-07-24,2013,3,7,24,July,Wednesday,29,4
20130725,2013-07-25,2013,3,7,25,July,Thursday,29,4
20130726,2013-07-26,2013,3,7,26,July,Friday,29,4
20130727,2013-07-27,2013,3,7,27,July,Saturday,29,4
20130728,2013-07-28,2013,3,7,28,July,Sunday,30,4
20130729,2013-07-29,2013,3,7,29,July,Monday,30,5
20130730,2013-07-30,2013,3,7,30,July,Tuesday,30,5
20130731,2013-07-31,2013,3,7,31,July,Wednesday,30,5
20130801,2013-08-01,2013,3,8,1,August,Thursday,30,1
20130802,2013-08-02,2013,3,8,2,August,Friday,30,1
